리뷰,평점,라벨링
맛잇엇어요 ,3,0
부산갈때마다 가는곳 그냥 칼국수가 제일 맛있음,3,0
광어사시미가 과숙성되서 푸석하고 매운짬뽕탕은 너무 무겁고 느끼했어요ㅠㅠ기대 많이 했는데 거의 남기고 나왔어요~~ 아쉽습니다,2,0
"지인추천으로 갔어요.
수육은 괜찮은데, 나머진 제 취향은 아니네요",2.5,0
카페 내부에 개미들이 왜 그렇게 많은지ㅠㅠㅠ찝찝했어요,0.5,0
시장통같은 어수선함속에 먼지 모를 편한함.  좋아요,3.5,0
"전보다맛이없어진것같아요 ㅠㅠㅠㅠ 
저는 영월에 일미닭강정이 더맛있는것같네뇨",1.5,0
맛나용,3,0
전복이랑 해산물이 적어서 실망햇어요,2.5,0
"피자는  맛있어보여요
스파게티는 좀 빈약한듯 ^^
분위기 좋고 물소리 좋은곤",3.5,0
살짝 달긴 했는데 그래도 맛있게 먹었어요~,3.5,0
분위기나 맛은 좋은데  그릇이 살짝 깨져있네요. 그 그릇에 음식을 담아주는건 바꿔주었으면 하네요,3.5,0
"4년전 방문했을때는 눈이 번쩍 뜨일만큼 맛있었어요
간만에 방문했는데 음 사장님이 바뀐건가요?",3,0
국물이 진한맛이 없어서 아쉬워요,2,0
빈대떡 조아요,3.5,0
메뉴가 전반적으로 간이 너무 강합니다. 그리고 분위기도 좋고 직원분 친절해서 좋았습니다.,3,0
불친절 끝판왕 맛있어도 오기 싫어요,1,0
기대한 만큼의 맛은 아니었음,3,0
기대보다는 별로였음. 맛집들 많이 다녀봤지만 가격대비 꼭 여기다 할 곳은 아니었네요. 직접구워주시고 친절히 먹는법설명 좋았지만 턱스크가 내내 거슬렸어요 ㅠ,3,0
좋아요,3.5,0
굿,2.5,0
"포장했는데 반찬이 하나도 없어서 당황했네요 저게 다예요 젓가락 뭐 하나도 없어요 김치 한조각 안주는 해장국집 진심 처음입니다 전화해서 물어봤더니 장사를 이때까지 이렇게 해왔고 따로 말을 안하면 반찬을 안싸준다네요...? 말안하면 밥도
안준대요 물론 사전에 이런 안내는 없었습니다 그럼 적어도 포장 손님한테 제값받지를 말아야죠  예약할때도 불친절하다 느꼈는데 끝까지 불친절해요 응대하는거 들으면서 화가났네요 한달살기 중인데 일년을 살아도 절대 안가요 -----------
------ 사전에 반찬에 대한 안내는 없었고 저희도 별거 아닌 걸로 넘어갈 수 있지만 응대가 너무 불친절하여 화가난게 순서상으로 맞아요 포장손님이라하여 사전 안내없이 매장손님과 다르게 대우하는 것 자체가 불합리하다 생각해요",0.5,0
"맛도 진짜 별로고 맛을 떠나서 위생진짜...
계산대 위에 좀 닦으세요 먼지 수북히 쌓임",1,0
산방산 뷰 보려고 찾아갔는데 사람들이 엄청 많네요 커피 맛은 그냥 그래요 앞에서 산방산 뷰 보고 커피는 다른 곳 가서 마시는게 좋을듯해여;,3,0
쌀국수 국물 맛있었는데 면이 설익은 느낌이었구요 볶음밥은 살짝 싱거웠어요.,3,0
흠 .. 서울에선 반값에 먹을 수있음 굳이 다시 찾아갈 정도는 아닌? 그러나 서빙하시는 주인장분이 상당히 친절- 음식맛은 그냥저냥 특별할것없음,2.5,0
"음식이 너무 성의가 없어요 ㅠㅠ 고기스시는 잡내가 너무나고, 회도 너무 싱싱하지 않네요ㅠㅠㅠㅠ. 다 못먹고 나왔습니다.  그리고 불친절까지 해요.",0.5,0
그냥뭐 나쁘진않아요,2.5,0
서비스 개별로.뭘 시켜도 바로바로 해주는게 없음ㅋ 존나느림. 대창은 맛있음. 전골 존나 노맛. 볶음밥 노맛. 해운대엘시티점이 개조오오오온맛. 해운대엘시티점만 방문하다가 처음 방문했는데 개실망함 진짜ㅡㅡ서비스 맛 죄다 실망.,1.5,0
그냥 보통 떡볶이맛 오뎅국물 맛있다,3,0
한옥집 칼국수집 들어 가는 입구가 특이한 곳 주인장이 친절한 곳 위생은 좀 아쉬웠어요,3.5,0
2단계 신라면보다 안 매운맛으로 시켰는데 신라면 보다 훨씬 매웠어요ㅠㅠ 그리고 그렇게 맛있지도 않네요..,3.5,0
가성비 좋다는 말에 방문했는데 카페가아니라 베이커리생각하면 그저그렇습니다. ,3,0
든든한 한끼 느낌이라 좋긴 한데 좀 물리긴 합니다.,3,0
좋아요,3.5,0
맛은있지만 계란때문에 비싸긴해요,3.5,0
여기떡볶이  진~짜 좋아하는데 처음으로.. 남긴 사진ㅠ 제발 옛날맛 돌아오길~~~,2,0
우선 기본 두줄만 판매하는데.. 포장된 양을 보니 두줄이라는 생각이 들지 않네요. 근데 무조건 두줄부터 판매하는건 무슨 심보인지 모르겠네요. 맛이 좋았으면 다 괜찮게 느꼈을텐데 계란 지단이 많이 들어있는 그냥 김밥이네요..  그냥 프리미엄 김밥집에서 비싼 재료 들어있는 맛있는 김밥 드세요.,0.5,0
좋아요.,3.5,0
제 입맛에는 그냥 그랬습니다..아쉬웠습니다.,3,0
그냥 흑돼지파는곳이 훨 나아요 웨이팅해서 먹을맛은 진짜로 아님ㅋㅋㅋ,3,0
굿,3.5,0
"먹는 도중에 꼬막은 많고 기름때문에 너무 느끼해서  밥을 하나더 추가했는데 말도 없이 먹는 음식에 기름을 또 부어서 먹을수 없을정도!! 결국 얼마 먹지도 못하고 나와서 다른데 밥먹으러
감!! 꼬막비빔밥이 아니라! 기름밥!!  아니 물어보고 기름더 넣어 드릴까요 해야하는거 아닌가요?",0.5,0
.,3,0
"음료가격 비싼데 인테리어가이뻐요
커피맛은쏘쏘",3.5,0
주차 너무 불편해요,1.5,0
"커피가 맛없고 비싼데 카페는 예뻐요.
근데 직원이 불친절해요.",2,0
다양한 메뉴가 있어요! 소곱창 쏘쏘 굿,3.5,0
가격에 비해 커피양이 너무 작네요,3,0
"뷰만 맛집. 
음료랑 메뉴는  연구좀 해야할듯.",3,0
여전히 맛있어요 ~ 터미널 근처에도 생겨서 좋네여,3,0
해물이  많은데  싱싱한지는  좀 ㅠㅠ,3,0
양많음! 쌀국수는 별로인데 다른게 맛있다,3.5,0
포장해서 먹었는데 뚜껑 딱 열자마자 머리카락나왔어요.....,0.5,0
굿,3,0
마라향솥만드세요..탕슉은 찹쌀떡을 먹는 느낌,3,0
맛있어요,3.5,0
"청량리에 두번 가고 신촌은 처음이었는데
접시도 잘 안치워주고 음식도 빨리빨리 안채워줘요.....",3,0
"고기 너무 맛있습니다. 다만 아쉬웠던 점은 마지막 추가 삼겹살 굽는 도중에 탈까봐 저희가 한번 뒤집어놨는데 단발머리에 반묶음 하신 직원분께서 인상을 찌푸리며 이거 누가 뒤집었냐고 그러셔서 저희가 그랬다고 하니 ""하..""하고 한숨을 푹 쉬
시며 짜증을 내셔서 너무 당황스럽고 기분이 상했습니다. 계산하는 순간에도 어디서 먹었냐고 물으시곤 포스를 손가락으로 툭 가르키며 이거 맞냐고 정색하며 얘기하시는데 황당했습니다. 다른 직원분들은 친절하셨고 고기도 맛있게 구워주셔서
 넘 감사히 맛있게 먹었는데 마지막에 기분 다 상한채로 먹고 나왔네요.",1,0
홀이비어서 홀안내부탁드렸더니 서빙하기 불편하다고 방으로 보내서 아 역시 장사잘되는식당은 갑질이 심하구나... 언짢았는데 맛있네요 휴..,2.5,0
"만두는 짜다. 그리고 비쌈..우동은 7천원? 얼마나 맛있는지 시켜먹어보았는데 시중에파는 인스턴트 우동, 김밥천국 우동과 전혀 다르지 않음..질에 비해 가격이 너무 비싸다",0.5,0
가성비 부족,2,0
가격대비 나쁘지않았어요,3,0
굿,3,0
갈치는 간이 하나도 안되어있고 손이 가는 메뉴가 하나도 없었네요  예전에 좋아해서 지주가던곳인데 이젠 안갈거 같음,2,0
좋음,3,0
"왜 평점이 높은지 모르겠네요. 불친절함에 뭘 그렇게 지적을 해대는지 밥을 먹고 싶은 마음이 사라졌던 한상이였습니다.  맛있게 먹으러 갔다가 기분만 상하고 다시는 가고 싶지 않네요. 갈비찜에 자부심이 강하시던데 할많하않 입구에서 손 소독
하라고 여러 사람이 만진소독제 사용하게 하실 게 아니라 손을 씻을곳을 마련하시든지 자동 소독제 하나 마련하시면 좋겠네요. 별 반개도 아깝지만 리뷰 등록이 안되서 어쩔 수 없어 참 아쉽네요.",0.5,0
가고 오는길이 여행지 같은 카페입니다.,3.5,0
굿,3.5,0
"음식 전반적으로 짜지않구요. 맛잇어요!! 가격도 다른 강남 스페인 식당보다 적당한 가격대 이구요. 스페인에서 음식먹은것처럼 너무 맛있게 먹었습니다. 다만 세트메뉴에서 아메리카노 or 티를 제외한 다른 음료(탄산) 이 선택 안되는건 좀 아쉽
구요. 사람이 많아서 그랬는지 추가메뉴등 요청하려고 했는데 빠르게 신경 못 써 주신건 좀 아쉬웠습니다.",3.5,0
좋아요,3.5,0
예쁜데 사람이 너무 많고 비싸용,3.5,0
"일하는 직원들은 자기할일만하고 계산은 뒷전입니다.

빵은 맛있긴한데 불쾌하여 재방문 의사없습니다.",2.5,0
예전의 만석닭강정이 아닌듯. 소스도 부족하고 맛도 예전보다 못하다,2.5,0
"특이한 해장국입니다^^
메생이국같은 느낌ㅋㅋ근데 고사리임
호불호 갈릴듯~~^^",2.5,0
사람이 많아 포장했어요,2.5,0
부산야경을 한눈에 볼 수 있어서 좋고 안주도 맛있었어요! 담에 또 갈게여,3.5,0
"맛은 있는데 음식 채우는 것도 느리고 왜 그릇이 계속 안나오죠..?앞접시 가지러 왔다갔다 엄청하는데 계속 없고 컵도 안나오고,,,ㅠ살짝 실망했어요",2.5,0
여긴 언제나 좋아요~~~~~,3.5,0
88 생선구이  리뷰가 좋아갔는데 가격대비 생서구이 양도 넘 작고  그냥 기대 이하였습니다,3,0
" 치즈돈까스는 너무 맛있어서 
다시 방문할것같아요♡",1,0
가격대비  그냥 그렇네요. 조금실망..마산에서먹은 콩국이 훨씬 맛있어요,3,0
그냥 그랬어요,2.5,0
"불고기는 맛이 특별하진 않습니다. 파가 많이 들어간게 특이하긴 한데. 좀 질겨요.  반찬도 손이 가는게 별로 없어요. 딱딱한 오뎅과 기본찬 몇가지가 나오는데. 강원도라서 좋구나 싶은 반찬
은 없습니다. 불고기 상추에 열심이 싸먹었어요. 같이 나오는 막장은 까맣고 그냥 짠맛만 납니다.  그리고 불고기 시켰는데도 된장찌개를 돈내고 추가로 시켰습니다. 돈받고 파는거니 좀 알
차게 나올줄 알았더니 잘 끓여지지도 않은듯한 상태로 까만 색 탕에 안익은 파와 까맣게 물들은 두부가 좀 들어있습니다.  일행들은 그게 유료인지 몰랐다가 나중에 엄청 분개했어요 ...",1,0
"오랫만에간 경주여행이지만 코로나 여파로 피자옥에서 테이크아웃 주문을 했습니다. 전화로 주문하고 20분 뒤에 갔는데 주문이 들어가지 않은상태였고 주문 내역을 확인하시더니 바로 음식조리에 들어갈테니 10분후 음식조리가 완료되면 전화
를 주신다고 하셨습니다. 그런데 20분이 다시 지나도 전화는 오지않았고 다시 방문하여 문의하니 음식은 아직도 조리전이었습니다. 뜻밖에 많은 시간을 할애하게 되었고 반복되는 주문누락을 확인하는 과정에서 직원들의 명쾌하지 못한 응대에 
많이 답답하고 아쉬웠네요",2,0
뷰는 진짜 예뻐요. 한라봉 에이드랑 청포도 에이드 먹었는데 일단 양이ㅋㅋㅋㅋ 주다만 양이 고여.. 얼음이 반... 세 모금 마시면 없어져요... 그리고 청포도 에이드가 진짜 말도 안 되게 달아요 쭈쭈바 녹인 거보다 훨씬 더 달아요 그냥 마시기 힘들어요 너무 달아서;;; 저번에 커피도 먹었었는데 별로였어요.... 분위기는 좋은데 음료 개선 좀 하셔야 될 것 같아요....,2,0
맛잇어요,3.5,0
배달이 느리고 실수가 있었음에도 서비스도 별로였음,0.5,0
제 입맛에는 좀 달았어요 서빙 이모님  중간이  없으신분 춥다하는 손님  덥다하는  손님 짜증나시겠지만   중간에  맞추는  센 스 부탁드려요,3,0
굳,3.5,0
고등학교 때 자주 가던 곳인데 예전 그 맛은 안 나네요ㅠㅠ,3,0
"부산 떡뽁이 맛집 부산분들은 좋아하시는거 같은데
힘들게 찾아갔는데 개인적으론 떡볶이 고추장맛이 진하고 너무 짜서 먹기가 좀 그랬어요. 튀김 반죽도 고소하고 담백한맛보다는 맹밀가루 튀김맛에 바삭함이 떨어져 기대한만큼 만족도는 많이 떨어지네요ㅜㅜ",1,0
"커피 원두 좀 바꿔주세요.. 이건 정말이지 못 마실 맛 처음에 좋지 않은 냄새가 나서바꾸러 갔어요 처음 마셔보고 너무 이상해서 2분 정도 지나고 다시마셨는데 역시나 역한 맛이나서 바꿔달
라고했어요 그런데 바리스타분은 죄송하단 말 없이 ""투샷은 괜찮으신거죠?"" 이러시곤 바꿔주시더군요 제 행동이 진상일 수 있어 ""죄송해요"" 했는데 못들으셨는지 대답없이 제가 바꿔달라고
했던 잔을 개수대에 버리시더군요 여지껏 어딜 가도 커피를 바꿔달라고 컨플레인 걸었던 적이 없었습니다 (스타0스, 편의점 커피 등 다 마십니다..) 그런데 여긴 좀 충격이었어요 원두...",0.5,0
불친절,3,0
커피 빵 모두 아쉬워요 커피는 너무 써요,2,0
맛있어오,3.5,0
음식 자체는 나쁘지 않아요. 다만 테이블 착석까지의 프로세스가 너무 별로네요. 계산 먼저 하고 앉아야 하는 시스템인데 자리가 나지 않으면 먼저 주문 못하고 옆에 빠져나와서 대기해야 하고... 줄 섰다가 다시 줄에서 나오라고 해서 이리저리 왔다갔다 했네요. 안내하는 직원들도 우왕좌왕. 차라리 옆에 신승반점처럼 그냥 줄서서 자리 나는대로 착석하고 자리에서 주문받는 시스템이 효율적일것 같네요. ,2,0
생각보다 비려서 거의 남겼오요,2,0
"물회랑 홍게라면 최고 💕
게살비빔밥은 비추..",3.5,0
"맛집 기대한다면 안갔으면 좋겠어요ㅠㅠ
서비스도...",0.5,0
비추,1,0
예전 보다는 별로 였던것 같지만 그래도 맛있어요!!,3,0
"다 먹고 나서 리뷰 남깁니다. 갈치구이(대) 시켰는데 양 푸짐하고 성인 5명이서 먹기에 충분했어요! 같이 나오는 게장도 신선하고 맛있었습니다. 다만 갈치구이가 조금만 더 소금간이 되었으면 좋겠다고 생각했습니다. 꼬리쪽은 짜고 중앙부는 
너무 밍밍했네요. 공항 근처에 있고 대기없이 금방 먹을 수 있어서 좋았어요!",3,0
"달달해요.
떡이 맛있어요.물떡도 추천.
웨이팅 많고요,,많아진 손님 대비 아직 좀 정신이 없으신것 같아요.그럼에도 불구하고 친절하세요.",3.5,0
"저 역시 홍시슬러시는 못 받았어요 결제할때 홍시슬러시 이벤트팝업이 놓여져있어서 ""언니, 우리 네이버로 예약했다고 하지 않았어? 그러고보니 홍시 못 받았네"" 이런얘기를 하고 있음에도
죄송하단 소리 못 들었네요 결제할때 데스크 예약자명단에는 괄호치고 네이버라고 메모까지 해놓고선;;; 고기도 여러부위 쓰시는지 고기 받아올때마다 기름이 있고 없고가 심하고 샐러드
바는 그닥 먹을게 없어서 크게 메리트를 느끼진 못했구요 고기무한리필에 2만원이면 뭐 저렴하긴하네요",3,0
"작년에 방문했을때 피자가 너무 맛있어서 친구들 데리고 재방문 했는데 제대로 실망해서 리뷰까지 남겨요. 별로면 다시 안가면되지 이런 마인드인데 진짜 너무 실망스러워서요. 메뉴 하나당 평균가격이 만칠천씩이나 하는데 카페도 아니고 1인1메뉴 무조건 해야하고(사이드는 안됨) 그렇다고 파스타도, 리조또도 맛이 뛰어나지도 않고. 기다리면서 미리 주문했는데도 메뉴가 코스요리 마냥 하나당 최소 20분씩..마지막에 리조또는 기다리다 지쳐서 주문 안들어갔으면 그냥 안먹고 나가겠다고 하니 5분만에 나온다더니 15분은 더기다렸어요. 아마 그제서야 주문들어갔나봐요. 근데 더 실망한건 리조또 양이..밥한공기 정도를 펴서 담은 느낌.놀러간거니 그냥 기분만 내고 나오자했는데도 진짜너무 실망했어요. 피자는 맛있었어요.",1.5,0
굿,3,0
2층에 계신 종업원분... 손님한테  어떻게 이렇게 무례할 수가 있는건지...이렇게 손님에게 막 대하는 식당은 공짜라도 다시는 방문하고 싶지 않네요.,0.5,0
검색하고 생각보다 별루  그냥 그냥,2.5,0
응대하는게 불친절하고 먹고 화장실가서 안좋음 ㅜ,1,0
진짜 돈아까워요,0.5,0
조금짜요..,3.5,0
평범 무난한 맛..,2,0
"가을시즌은 이번이 두번째로 방문했습니다. 늘 시간을 이른시간으로 가다가 이번에 처음으로 5시 30분 타임을 가게되었습니다. 이미 한차례 시즌음료들의 맛과 스토리를 알고 갔는데 이번
에는 솔직히 조금 실망이더라구요. 남자분께서 스토리텔링을 해주셨는데, 스토리도 제대로 전달되지 않고 약간 이야기와 설명도 중구난방처럼 느껴졌어요. 정리되지 않은 내용들을 그대로 
듣는 기분이랄까. 그리고 음료도 전체적으로 맛이 그전에 먹었던 맛과 사뭇 달랐습니다. 특히나 산도깨비 음료에서는 수돗물맛이라고 할까요. 중간에 빈 듯한 느낌과 약간의 물비린내...",2,0
맛있어요~~,3,0
조용하고 간단히 먹기 좋아요,3,0
너무 기대를 했나봐요,3.5,0
벌ㄹㅔ나옴,2.5,0
"순두부 9천 원 진짜 돈 아까움 5천 원이 적당할 수준의 누가 먹다 남긴  수준의 순두부가 나옴 왜 리뷰가 다 이렇게 좋은지 모르겠음 홀이 꽉 차서 엄청 바쁜 것도 아닌데 밥을 30분이나 기다
림 언제 나오냐고 물어보니  잠깐만요 하고 아주머니 본인 할 일만 함 다시 물어보니 자기가 10분 기다려야 말했다고 우김 옆 테이블은 식사 다 끝나서 모두부 나옴 진짜 리뷰 양심 좀 있게 
썼으면 진짜 네이버 리뷰는 돈을 받아먹은 건지 음식으로 받아먹은 건지 한심스러움",1,0
맛나요,3.5,0
별로,2,0
좋아요,3.5,0
케이크는 정말 맛있는데 너무 불친절한 편,3,0
굿,3.5,0
시간을 돌려 취소하고싶었음,0.5,0
가격이 너무 비쌈,3,0
비쌈,2.5,0
귯,3.5,0
밑반찬이 부족하고 호출벨 무음으로 되어있는거 빼고 음식 맛과 다른 모든 것이 좋았습니다.,3.5,0
"대학교 근처 무난한 카페
날씨 좋을 때 루프탑 이용하면 좋을 듯",3.5,0
예전보다는 쏘쏘인거같아요ㅜ,3.5,0
잘 모르겠다  비싸도 맛있으면 난 자주 간다 여기는 한 두번은 갈만하다 밥은 꼬들꼬들  괜찮았다,3.5,0
강릉 형제칼국수 제 입맛에는 쏘쏘였습니다,3,0
갈치조림 떡볶이맛 나고 갈치구이는 비주얼은 좋은데 맛은 고냥고래요 그래도 시설은 좋네요 0.0,3.5,0
놀이바에 장난감이 있던데 어제 남자아이가 다른아이에게 장난감을 던져 얼굴에 상처가 생긴 걸 보았습니다.별난 아이라고 생각할 수는 있지만 어린이 연령대가 다양하게 놀이방 이용하니 장난감을 이전처럼 없애주세요.,3,0
"감바스가 베스트메뉴라 시켰는데, 한입크기 새우 8마리 들어가있어서 놀랐어요,,,",1,0
흔히 생각하는 붉은 국물이 아니라 마늘이 들어간 국물이에요  국물이 시원했는데 저한텐 좀 짰어요 ㅠㅠ 그리고 조개를 좋아하는데 해감 안 된 조개라 못 먹었어요 홍합도 좀 질겨서 못 먹었어요 ㅠㅠ 밑반찬 고사리 무침은 맛있었어요!,3,0
물회는 맛좋았는데 다른건 그저그랬어요.,3.5,0
다른 짬뽕집 짬뽕보다 낫다고 느껴지지 않았고 그런것에 비해 가격은 다소 비싸다고 생각됩니다,2,0
"코로나로 5명이 매장을 방문할 수 없어 전화 로 포장 주문 후 찾으러 갔어요~ 계산을 하려하니 포장은 매장내 취식보다 양이 많다며 그릇당 1000원의 추가 요금이 있다하더군요. 무슨 소리
냐하니 다시 동어반복을 합니다. 점심을 기다리는 직원들도 있고해서 알겠다 계산하고 이렇게 추가 요금이 있는거면 전화 주문 시 고지를 해주면 좋겠다 의견 남기고 왔습니다. 사무실로 돌
아와 실제 취식을 해보니 1000원의 추가 비용이 느껴질 정도의 양은 아니였네요. 그래서 아직도 추가 비용의 이유가 이해되지 않습니다.주문시 양을 더 달라한적도 없고요.참고로 저...",0.5,0
해물라면은 쏘쏘..다른건 먹을만,3,0
"스텝분 중에 전 y.s 라고 되있으신 아주머니 있으신데 손님이 녹두빈대 바싹 해달라고하니까 직원분들끼리 바싹이고 나발이고 그냥 내와 이러는거 듣고 정뚝떨입니다  남자 사장님? 분은 말투가 원래 그러신지 다 신경질 적이시더라고뇨 밥 15
분 먹었는데 직원분들과 손님들과의  신경전이 5번 넘게 있었어요 밥먹는 분위기가 아니었습니다 ..  여기는 장사 잘 되는 이유를 모르겠어요  고사리육개장 맛이 별로에요 저희 동네 순대국만 못합니다  유명하다니 먹어봐야지 하고 기다린게 후
회되요 다신 재방 없구 비추입니다  제일 중요한거는 물컵이랑 물좀 달라고 했더니 옆테이블이랑 같이 먹으라고 하는게 제일 어이없었네요 지금 이시기에 페트병에 담긴 물을 같이 먹으라니요 아예모르는사람과.. 기본 식당이 한테이블당...",0.5,0
쏘쏘.. 너무 기대하고 갔나봐요. 무난합니다. 가격대비로는 실망이요.,3,0
좀 비싼편인듯. 미역국맛집!,3.5,0
맛나요,2,0
맛은있는데 넘 비싸요 ㅠㅠ,3.5,0
오션뷰라 좋아요. 다만 규모가 큰 것에 비해 화장실이 부족한 것 같습니다. 청귤차는 유리잔 등이 아니라 테이크아웃 될 종이컵에 나와서 좀 별로.,3.5,0
맛은 있지만 독특했지 특별한 맛은 아니였어요! 바쁘신 나머지 불친절 하셨는데 덜 팔고 조금 더 친절했으면 좋겠네요 ㅠㅜ,3.5,0
"정해진 시간에 맞춰 청소를 하시겠지만 직원분들 바쁘고 3층까지 있는데다 공간이 넓다보니 미처 제대로 정리안된 테이블이 보여서 이해가 되면서도 조금 아쉬워요 이점만 보완된다면 더 
좋은 카페가 될거같아요 음료,빵은 무난하구요 넓직하고 뷰가 참 좋아요 안목 핫한 바글바글한 카페보다 전 여기가 훨씬 좋아요",3,0
기대 많이 했는데 그냥 그래요. 김치찌개 별로,2.5,0
인테리어 예뻐요,3,0
마늘 촠촠해 조아조아 ~~ ♡ 갈릭소스 입안 가득임,3.5,0
"38년전통 맛집이라해서 6시쯤 방문했더니 첨부터 홀서빙아줌마는벨 몇번눌러서 오고 낙지볶음에 낙지는 찾기힘들고 거의 야채, 또 매움의 정도가ㅠ 반찬추가했더니 홀서빙아줌마 들고와서는 테이블 끝에 던지듯이 놓고 휙가버림. 30분쯤 넘어가니 밖에 대기손님 있다고 옆테이블손님
은 다드셨슴 가시라하고 우리 테이블을 힐끗힐끗 쳐다보심. 오뎅볶음 조금만 더달라하니 초저녁인데도 불구하고 반찬 다 떨어졌다고 없다고함. 짜증나서 먹기싫어 낙지볶음  포장해달라했더니 1회용비닐 휙던지더니 싸가라고. 가다가 봉지터지니 하나 더달라함ㅠ 계산대에서도 잘 확인
해야함 3만5천원데 5만2천원으로 잘못계산. 아니 요즘 세상에 이런 식당은 첨보네ㅠ 주인한테 얘기라도 할라하니 홀서빙아줌마 자기가 주인이라고 함. 몇마디 하고 나왔지만 참 어처구니가.",0.5,0
제일 첫번째에있는 국밥시켰음. 사골에 물탄맛  친구는 빨간국밥 시켰는데 맵기만함 탕수육만 처음먹을때 먹을만했음. 누룽지는 그냥 빼는게 나으실듯해요 후기도 좋아서 웨이팅 오래기다렸는데.. 실망해사 남기고나왔네요,0.5,0
"좋았던 첫인상과 달리 아쉬움이 많이 남아 리뷰 남깁니다. 1. 태블릿 주문 물 요청 2번 해도 안오셔서 직접 갖다 마셨습니다. 근데 문제는 첫 세팅에도 추가 주문에도 계속 누락이 발생했습니다. 서빙 전 확인은 기본인데 앞뒤 테이
블 손님들에게도 누락이 되는 것 보면 아예 확인 자체를 안하시는 것 같습니다. 2. 김치찌개 후식이라도 8000원에 맞지 않은 양입니다. 냄비 크기나 가격 등을 바꾸시든 증량하시든 조정은 필요해보입니다. 3. 응대 중 다른 테이블
응대 저희가 눌러서 응대하시다가 다른 테이블로 휙 가버리시던데, 그전에도 바쁘신 것 같아 이해는 하려고 했지만... 개선 하셔야 할 것 같았습니다.  배달 병행하시던데 이해는 하나 홀 관리 시스템 먼저 잡으셔야 할 것 같...",0.5,0
티몬에서 상품권 구매하여 조금 저렴하게 다녀왔네요. 조개를 많이 먹고싶으시다면 추천이지만 뭔가 맛이 아쉽네요ㅠㅠ,3,0
기대보다 별루...,2,0
너무 기다려요. 기다림만큼 맛은 글쎄.,3,0
불친절,3,0
대기시간이 상당히 길다는거,3.5,0
국물은좋은데  반찬이,3,0
"매장에서 먹기 찝찝해서 포장했는데
돈까스 양이 너무 적네요.",3,0
음식은 괜찮았는데 샐러드에 들어간 어린잎채소에 흙이 많이 묻어있었어요. 직원분께 말씀드렸는데 성의없이 죄송하다고만 하고 사장님이나 다른 직원분들께는 보고 안하시는 것 같더라구요.. 별말 안하구 나왔지만 샐러드 채소 제대로 씻어서 사용하세요...,2,0
맛은 진짜 더 할나위 없어요! 기본 찬 마저 정갈하고 다 맛있음! 별 두개 뺀 이유는 사장님처럼 보이는 남성분 캐셔 담당 해 주셨는데 원래 말이 없으신건가요^^; 친절한 느낌은 못 받음,3,0
너무 기대해서 그런가ㅠㅠ평일에 가서 그런지 웨이팅없이 구냥 들어갔어요! 빨리 음식나오긴하는데 그냥 한번쯤 가볼만해요 주차도 편해요,3.5,0
"7월7일에 방문했었는데 그날은 포장했었어요ᆢᆢ가게 수리중이라는데 여자사장님이 기다리라고 포장해주셔서 숙소에서 아주 맛있게 먹었어요ᆢ속초나 양양갈때마다 들려서 포장해요ᆢ
제가 방문한날은 인근 물회집이 휴무라 고민끝에 엄지네 방문했습니다. 그런데 카운터에 계신분이 그댁아들인지  누군지 모르겠지만~벽쪽에 앉았더니 단체석이라고~여기앉아라 저기앉아
라ᆢ써빙하시는 남자분한테  큰소리 지르며 손가락질에~저희 들으라고 말한거 다알아요!!!정말 뛰쳐나오고싶었는데 장거리운전에 힘든남편이 자릴잡고 앉아서 어쩔수없이 먹었어요...",1,0
면은 사리면 가격비해 퀄리티 떨어짐 전날진짜 술마셔서 해장하려구 먹은거지 두번 갈것같진 않았어요 하지만 사장님은 친절하시구 좋아요 맛이 너무 뭔가 안타까웠어요,3,0
"단골인데 갈때마다 가격이 천원씩 오르네요
맛은 있어요",3.5,0
좋아요,3.5,0
굿굿,3.5,0
인스타보고 갔는데 실망이에요 양도적고 사진이랑 너무달라요 진짜,0.5,0
식당 넘 더러워요... 인스타에맛집이라고 떠서.간건데 믿거해야겠어요 맛도없음 ㅠㅠ 심지어식당사진찍기이쁘지도않음,1,0
"캔들 선물용으로 샀는데, 사고나니 비싼 느낌 (?)",3,0
"주말엔 줄이 김. 평일에 가서 편하게 구매. 
빵 맛있음. 헌데 어디선가 먹어본 맛이므로 굳이 줄까지 서 먹나 싶음. 마늘바게뜨 비쌈. 팡파미유 두 배",3.5,0
먹기불편한데 분위기는 좋아요,3.5,0
그럭저럭 가격에 비해 뛰어난 맛은 아니지만 간단하게 먹기 좋음,3,0
"저녁시간에 방문했는데
튀김에서 기름냄새가 거슬렸어요.",3.5,0
파리가 너무 마나요ㅠ,2,0
"맛있고좋은데 와플이 비싸고 큰데 1인메뉴래요 ㅡㅡ
둘이가면무조건메뉴자체를 두개시키라해서 비싸고 배터질뻔",3,0
맛나요,3.5,0
��,3.5,0
"브런치는 맛나요
샐러드소스가 거의 없어서 좀 더 뿌려달랐더니 천원 추가래요",2.5,0
보통이예요~,3.5,0
